time,fill_level_grams_red,fill_level_grams_blue,fill_level_grams_green
1718714860,80.75252322990956,0.0,543.1204665490508
1718714864,70.92426920009805,0.0,527.988696165552
1718714868,60.82549241212236,0.0,512.6501353781537
1718714872,50.65361028666244,0.0,497.5317094553231
1718714876,40.86725426583851,0.0,483.0849100913034
1718714880,30.35190915069293,0.0,468.1727610359771
1718714884,20.49956551473636,0.0,452.7879010841792
1718714888,10.410470376070357,0.0,437.3504971132763
1718714892,0.4851578046869687,0.0,422.0032922640222
1718714896,0.0,0.0,407.45899344539345
1718714900,0.0,0.0,392.34437175430776
1718714904,0.0,0.0,377.3966674443053
1718714908,0.0,0.0,362.76557953722113
1718714912,0.0,0.0,347.78451021131104
1718714916,0.0,0.0,332.7122434089218
1718714920,0.0,0.0,317.5506439970705
1718714924,0.0,0.0,302.74459577651845
1718714928,0.0,0.0,287.86918401684034
1718714932,0.0,0.0,272.62392814500816
1718714936,0.0,0.0,257.43142801009117
1718714940,0.0,0.0,242.08130574104652
1718714944,0.0,800.0,226.74843636898157
1718714948,0.0,780.0401121863555,211.52424922948745
1718714952,0.0,760.1326908231802,196.04411436892457
1718714956,0.0,739.8577864966464,180.86538308050723
1718714960,0.0,720.3987516462389,166.11370788053304
1718714964,0.0,700.0680169631587,150.99442017774828
1718714968,0.0,680.1411479599815,135.94041016635813
1718714972,0.0,660.788883827279,120.79389499326989
1718714976,0.0,640.9887373350297,106.09585577729507
1718714980,0.0,621.20752728953,91.32429071243251
1718714984,0.0,601.2230235280441,76.24631520568539
1718714988,0.0,581.4999623810235,61.53441132570221
1718714992,0.0,562.0365237373112,47.01609773755091
1718714996,0.0,541.9372548789927,32.17467109292536
1718715000,0.0,522.3364282307361,16.961465668603424
1718715004,0.0,502.15413801526444,1.7650079094152513
1718715008,0.0,482.34977026109675,0.0
1718715012,0.0,462.3864223807563,0.0
1718715016,0.0,442.3355508701288,0.0
1718715020,0.0,422.02002528773494,0.0
1718715024,0.0,402.19527592854905,0.0
1718715028,0.0,382.52353587002636,0.0
1718715032,0.0,362.13959633479476,0.0
1718715036,0.0,342.54507419984975,0.0
1718715040,0.0,322.5727318178971,0.0
1718715044,0.0,302.31837709779813,0.0
1718715048,0.0,282.654566351841,0.0
1718715052,0.0,262.6690521617975,0.0
1718715056,0.0,243.24586004093965,0.0
1718715060,0.0,223.1172929445117,0.0
1718715064,800.0,203.0792446405825,0.0
1718715068,789.8644749737028,183.22975416450484,0.0
1718715072,780.2271053877196,163.07251354797626,0.0
1718715076,770.8050589654979,143.41282147157372,0.0
1718715080,761.2355745337046,123.66658636436581,0.0
1718715084,751.4287420380982,103.7087083923218,0.0
1718715088,741.3794138608577,84.1666656234049,0.0
1718715092,731.4526564430189,64.05340947301268,0.0
1718715096,721.6050053079821,43.58898233286422,0.0
1718715100,711.6050283643385,23.272082748368646,0.0
1718715104,701.85813276155,3.1905435195110634,0.0
1718715108,691.7040112447623,0.0,0.0
1718715112,682.0318365241393,0.0,0.0
1718715116,671.8865090097336,0.0,0.0
1718715120,661.9779821573471,0.0,0.0
1718715124,651.7012709114784,0.0,0.0
1718715128,641.6239730941231,0.0,0.0
1718715132,631.6125146663222,0.0,0.0
1718715136,621.6030618501774,0.0,0.0
1718715140,611.1621349272142,0.0,0.0
1718715144,601.0265466118008,0.0,0.0
1718715148,590.927469647188,0.0,0.0
1718715152,580.7342038625726,0.0,0.0
1718715156,570.1388701721038,0.0,0.0
1718715160,560.5454919058352,0.0,0.0
1718715164,550.514517679157,0.0,0.0
1718715168,540.4928689571262,0.0,0.0
1718715172,530.274388422979,0.0,0.0
1718715176,520.0864469780003,0.0,0.0
1718715180,510.0740604484422,0.0,0.0
1718715184,500.3286935250787,0.0,800.0
1718715188,489.7272013745274,0.0,784.9818953294257
1718715192,479.68692979659573,0.0,770.0323569548101
1718715196,469.411957409012,0.0,755.316964587358
1718715200,459.50285415848816,0.0,740.1460634473603
1718715204,449.54450398094025,0.0,725.2285512067896
1718715208,439.7237001050973,0.0,709.6734548454847
1718715212,430.03671561264713,0.0,694.6970277584442
1718715216,419.86539554301214,0.0,679.1085198750877
1718715220,410.0616435325563,0.0,664.1613477402489
1718715224,400.385002493211,0.0,649.4706911545743
1718715228,390.66823311552383,0.0,633.9303395940403
1718715232,379.84575707017467,0.0,619.4056260983778
1718715236,369.69515659796514,0.0,604.23635109782
1718715240,359.8135912778852,0.0,588.8969981426436
1718715244,349.9338942091074,0.0,573.8214785956427
1718715248,339.6565569086713,0.0,558.8075706028461
1718715252,329.9784484584966,0.0,543.697103863714
1718715256,319.48831715533186,0.0,528.9724147502187
1718715260,309.25923069545195,0.0,513.7612262963049
1718715264,299.37667633871615,0.0,498.9199916489059
1718715268,288.9662548810956,0.0,484.2939681905816
1718715272,278.9812498649223,0.0,469.31060546348135
1718715276,269.09497775289253,0.0,454.2704424019732
1718715280,259.38359457866864,0.0,439.0620857219094
1718715284,248.9755820899535,0.0,424.0849417727292
1718715288,238.99838608006712,0.0,409.12916201352095
1718715292,229.18059231553582,0.0,394.79511039740055
1718715296,219.4838570060129,0.0,379.0406352404161
1718715300,209.87791295401723,0.0,364.15760277935215
1718715304,199.98730425226597,800.0,349.48264899944166
1718715308,189.80073233071124,780.073059996455,334.2058296398733
1718715312,179.84259970381078,760.1113026271153,319.21497340122835
1718715316,169.8220756041417,739.976624825161,304.1397802612293
1718715320,160.17265809548115,719.8675094957384,289.6784202127772
1718715324,150.3121797775109,699.2979427906147,274.79388373123766
1718715328,140.05695937857905,679.0752847133159,259.72987827214905
1718715332,130.1854642973684,659.3379545637873,244.27018755266425
1718715336,120.5599732472672,639.058384544277,229.3809364594092
1718715340,110.93295927574881,618.7472711767543,214.2149115641615
1718715344,101.2509047958147,599.1098045645087,199.4026049860302
